1011,CRUSH
1266,The Devil Duckies
1538,The Holy Cows
1572,The Hammer Heads
1622,Team Spyder
1661,Griffitrons
1709,Sparks
1967,The Janksters
1972,Searing Engineering
2102,Team Paradox
2496,Tru Blu Patriots
2543,TitanBot
2658,Sum-Motion
2827,Crown City Robotics
2839,Daedalus
2984,Vikings Robotics
3021,The  Agency
3309,Friarbots
3473,Team Sprocket
3476,Code Orange
368,Team Kika Mana
3704,Robosapiens
3749,Team Optix
3863,Pantherbotics
3880,Tiki Techs
3881,WHEA Sharkbots
4014,Top Hat Technicians
4056,ElectroTitans
4079,Quantum Leap
4139,Easy as Pi
4160,The RoBucs
4322,Clockwork Oranges
4355,Penoles-CP-BOTS
4400,PENOLES - CERBOTICS
4415,EPIC Robotz
4486,Blue Prints
4603,Penoles Leones Frances 4603
4616,Team Pharaohs
4619,HawkBots
498,The Cobra Commanders
5474,Clairemonster
5477,NuBotX - National University Academy Robotics Experience
5514,MavBots
5627,Pi-rates
5857,Walnut Valley Robotics
589,Falkon Robotics
6072,Triton Tech
6560,Charging Champions
6668,Scorpion
6823,Wildcats
6833,Python Robotics
6918,Napa Cellar Rats
6995,NOMAD
7102,PrepaTec - Daedalus
7441,Lancer EVO
7447,Ronin Robotics
812,The Midnight Mechanics
8269,Patrionauts
